filesize	nObjs	nVersions	pageCount	images	nStreams	linearized	encrypted	nLrgObjs	nSmlObjs	sActions	sElements	sEvents	openAction	aa	names	acroform	js	javascript	launch	submitForm	importData	encrypt	jbig2decode	embeddedFiles	flash	asciiHexDecode	ascii85Decode	lzwDecode	flateDecode	runLengthDecode	ccittfaxDecode	dctDecode	jpxDecode	crypt	class
c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	d
																																			class
17615	9	0	1	0	3	0	0	2	7	1	2	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
121772	77	2	5	0	11	0	0	8	69	2	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
12320	8	0	1	0	1	0	0	1	7	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
1216087	327	0	32	1	83	0	0	70	257	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1
12246	6	0	1	0	0	0	0	0	6	1	2	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
4280	11	0	1	0	4	0	0	2	9	1	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1
25717	3	0	0	0	0	0	0	1	2	1	2	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
19230	16	0	1	0	8	0	0	2	14	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
9311	9	0	1	0	1	0	0	2	7	2	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
9263	8	0	1	0	2	0	0	1	7	1	2	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
8184	10	0	1	0	3	0	0	2	8	1	2	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
3617	14	0	1	0	2	0	0	1	13	3	2	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
10718	30	0	1	0	4	0	0	2	28	3	3	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
72976	55	0	22	1	23	0	0	25	30	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1
8264	9	0	1	0	3	0	0	2	7	1	2	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
27474	42	0	1	1	6	0	0	3	39	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1
29776	19	0	1	0	9	0	0	2	17	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
9228	8	0	1	0	2	0	0	1	7	1	2	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
8517	9	0	1	0	3	0	0	2	7	1	2	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
45517	3	0	0	0	0	0	0	1	2	1	2	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
55271	23	0	2	0	7	0	0	7	16	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
3024	4	0	1	0	1	0	0	1	3	1	2	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
33121	25	0	1	0	11	0	0	2	23	2	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
9809	8	0	1	0	2	0	0	1	7	1	2	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
17595	9	0	1	0	3	0	0	2	7	1	2	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
73986	54	0	1	1	20	0	0	9	45	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
8098	9	0	1	0	3	0	0	2	7	1	2	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
3682	14	0	1	0	2	0	0	1	13	3	2	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
74608	95	0	3	0	17	0	0	13	82	2	0	3	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1
54737	8	0	1	0	1	0	0	1	7	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
80058	15	2	0	0	1	0	0	1	14	2	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
9680	8	0	1	0	2	0	0	1	7	1	2	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
45595	3	0	0	0	0	0	0	1	2	1	2	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
76332	5	0	1	0	1	0	0	1	4	1	2	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
49152	5	0	0	0	1	0	0	0	5	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2346	8	0	1	0	1	0	0	1	7	2	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
892935	26	0	2	1	10	0	0	9	17	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1
4059	8	0	1	0	1	0	0	1	7	1	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1
1218	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
4079	8	0	1	0	1	0	0	1	7	1	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1
21437	15	0	1	0	7	0	0	2	13	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
516922	15	0	1	0	5	0	0	3	12	2	2	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
4075	8	0	1	0	1	0	0	1	7	1	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1
7633	9	0	1	0	1	0	0	2	7	2	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
21272	15	0	1	0	7	0	0	2	13	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
7551	17	0	1	0	6	0	0	5	12	1	2	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
7801	4	0	1	0	1	0	0	1	3	1	2	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
15093	19	0	1	0	9	0	0	2	17	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
2004	9	0	1	0	2	0	0	1	8	1	2	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
8232	9	0	1	0	3	0	0	2	7	1	2	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
12529	10	0	1	0	2	0	0	1	9	1	2	2	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1
8343	10	0	1	0	3	0	0	2	8	1	2	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
15476	9	0	1	0	3	0	0	2	7	1	2	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
9221	6	0	1	0	0	0	0	0	6	1	2	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
49793	21	0	1	0	6	0	0	5	16	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
9326	8	0	1	0	2	0	0	1	7	1	2	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
26105	3	0	0	0	0	0	0	2	1	1	2	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
9132	4	0	1	0	1	0	0	1	3	1	2	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
8000	9	0	1	0	3	0	0	2	7	1	2	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
25890	3	0	0	0	0	0	0	2	1	1	2	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
78093	30	0	2	1	13	0	0	4	26	2	0	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1
15336	9	0	1	0	3	0	0	2	7	1	2	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
10082	15	0	1	0	2	0	0	2	13	3	2	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
9657	8	0	1	0	2	0	0	1	7	1	2	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
12233	6	0	1	0	0	0	0	0	6	1	2	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
9601	8	0	1	0	2	0	0	1	7	1	2	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
15019	19	0	1	0	9	0	0	2	17	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
30236	19	0	1	0	9	0	0	2	17	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
8087	4	0	1	0	1	0	0	1	3	1	2	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
9803	8	0	1	0	2	0	0	1	7	1	2	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
16273	9	0	1	0	3	0	0	2	7	1	2	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
8016	4	0	1	0	1	0	0	1	3	1	2	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
12231	6	0	1	0	0	0	0	0	6	1	2	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
25474	3	0	0	0	0	0	0	1	2	1	2	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
36059	17	0	1	0	3	0	0	2	15	3	2	3	1	0	1	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1
21632	8	0	1	0	2	0	0	2	6	1	2	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
213183	48	3	0	1	22	0	0	8	40	1	2	2	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1
4347	14	0	1	0	6	0	0	1	13	1	2	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
